name,output_card,output_pin,output_min_volts,output_max_volts,output_default_value,output_voltage_slope,output_voltage_y_intercept,input_voltage_card,input_voltage_pin,voltage_slope,voltage_y_intercept,input_current_card,input_current_pin,current_slope,current_y_intercept,power_threshold
Suppressor,pcie-6738,AO31,0,10,0,0.002,-0.0022,pcie-6361,AI8,500.07,0.7114,,,,,
Focus,pcie-6738,AO29,0,10,0,-0.1653,-0.0083,pcie-6361,AI0,-96.835,-0.1475,,,,,
Drifttube1,pcie-6738,AO6,0,5,0,0.01,0,,,,,,,,,
Drifttube2,pcie-6738,AO5,0,10,0,0.02,0,,,,,,,,,
Drifttube3,pcie-6738,AO4,0,10,0,0.02,0,,,,,,,,,
Anode,pcie-6738,AO13,-1,10,0,0.002,-0.0181,pcie-6361,AI1,499.64,1.6174,pcie-6361,AI9,200.45,0.4223,200000
Transition,pcie-6738,AO30,0,10,0,0.002,-0.018,pcie-6361,AI2,500.66,1.2048,pcie-6361,AI10,0.2,0,
Collector,pcie-6738,AO15,0,10,0,0.0033,-0.0165,pcie-6361,AI7,300.86,-1.2775,pcie-6361,AI15,11.68,0.2362,
High Voltage,pcie-6738,AO14,0,7.5,0,0.0005,0,pcie-6361,AI5,2000,0,pcie-6361,AI13,0.15,0,
Emission,,,,,,,,pcie-6361,AI11,10.914,1.6846,,,,,
AO: MeVVA Trigger,pcie-6738,AO16,0,5,0,1,0,,,,,,,,,
DO: Trigger 0,pcie-6738,port0/line0,,,,,,,,,,,,,,
DO: Trigger 1,pcie-6738,port0/line1,,,,,,,,,,,,,,
AO: Trigger 1,pcie-6738,AO27,0,5,0,1,0,,,,,,,,,
AO: Trigger 2,pcie-6738,AO25,0,5,0,1,0,,,,,,,,,
AO: Trigger 3,pcie-6738,AO23,0,5,0,1,0,,,,,,,,,
AO: Trigger 4,pcie-6738,AO21,0,5,0,1,0,,,,,,,,,
AO: MeVVA Trigger Power,pcie-6738,AO17,0,5,0,1,0,,,,,,,,,
